zip_code,county,addr_state,loan_amnt,annual_inc,state
995xx,North Slope,AK,42938975,80652.8329819639,02
995xx,Bethel Census,AK,42938975,80652.8329819639,02
995xx,Dillingham Census,AK,42938975,80652.8329819639,02
995xx,Lake and Peninsula,AK,42938975,80652.8329819639,02
995xx,Aleutians East,AK,42938975,80652.8329819639,02
995xx,Yukon-Koyukuk Census,AK,42938975,80652.8329819639,02
995xx,Kenai Peninsula,AK,42938975,80652.8329819639,02
995xx,Anchorage,AK,42938975,80652.8329819639,02
995xx,Valdez-Cordova Census,AK,42938975,80652.8329819639,02
995xx,Aleutians West Census,AK,42938975,80652.8329819639,02
995xx,Municipality of,AK,42938975,80652.8329819639,02
995xx,Wade Hampton Census,AK,42938975,80652.8329819639,02
995xx,Kodiak Island,AK,42938975,80652.8329819639,02
996xx,Bethel Census,AK,21832325,83295.47130182422,02
996xx,Matanuska-Susitna,AK,21832325,83295.47130182422,02
996xx,Dillingham Census,AK,21832325,83295.47130182422,02
996xx,Lake and Peninsula,AK,21832325,83295.47130182422,02
996xx,Nome Census,AK,21832325,83295.47130182422,02
996xx,Bristol Bay,AK,21832325,83295.47130182422,02
996xx,Aleutians East,AK,21832325,83295.47130182422,02
996xx,Yukon-Koyukuk Census,AK,21832325,83295.47130182422,02
996xx,Kenai Peninsula,AK,21832325,83295.47130182422,02
996xx,Yakutat City and,AK,21832325,83295.47130182422,02
996xx,Valdez-Cordova Census,AK,21832325,83295.47130182422,02
996xx,Aleutians West Census,AK,21832325,83295.47130182422,02
996xx,Municipality of,AK,21832325,83295.47130182422,02
996xx,Wade Hampton Census,AK,21832325,83295.47130182422,02
996xx,Kodiak Island,AK,21832325,83295.47130182422,02
997xx,Southeast Fairbanks Census,AK,16265025,77775.33387473461,02
997xx,North Slope,AK,16265025,77775.33387473461,02
997xx,Matanuska-Susitna,AK,16265025,77775.33387473461,02
997xx,Nome Census,AK,16265025,77775.33387473461,02
997xx,Yukon-Koyukuk Census,AK,16265025,77775.33387473461,02
997xx,Northwest Arctic,AK,16265025,77775.33387473461,02
997xx,Fairbanks North Star,AK,16265025,77775.33387473461,02
997xx,Denali,AK,16265025,77775.33387473461,02
998xx,Hoonah-Angoon Census,AK,6399125,72974.72927135679,02
998xx,Sitka City and,AK,6399125,72974.72927135679,02
998xx,Skagway,AK,6399125,72974.72927135679,02
998xx,Petersburg Census,AK,6399125,72974.72927135679,02
998xx,City and Borough of,AK,6399125,72974.72927135679,02
998xx,Haines,AK,6399125,72974.72927135679,02
998xx,Juneau City and,AK,6399125,72974.72927135679,02
999xx,Prince of Wales-Hyder Census,AK,2451825,68294.79730263159,02
999xx,Ketchikan Gateway,AK,2451825,68294.79730263159,02
999xx,Prince of Wales-Outer Ketchikan,AK,2451825,68294.79730263159,02
999xx,Wrangell City and,AK,2451825,68294.79730263159,02
350xx,Cullman,AL,44617725,69053.99658901831,01
350xx,Bibb,AL,44617725,69053.99658901831,01
350xx,Chilton,AL,44617725,69053.99658901831,01
350xx,Jefferson,AL,44617725,69053.99658901831,01
350xx,Talladega,AL,44617725,69053.99658901831,01
350xx,Tallapoosa,AL,44617725,69053.99658901831,01
350xx,Coosa,AL,44617725,69053.99658901831,01
350xx,Shelby,AL,44617725,69053.99658901831,01
350xx,St. Clair,AL,44617725,69053.99658901831,01
350xx,Marshall,AL,44617725,69053.99658901831,01
350xx,Clay,AL,44617725,69053.99658901831,01
350xx,Blount,AL,44617725,69053.99658901831,01
350xx,Walker,AL,44617725,69053.99658901831,01
351xx,Tuscaloosa,AL,33833750,71606.40819077473,01
351xx,Chilton,AL,33833750,71606.40819077473,01
