issue_d,addr_state,loan_amnt
2007-06,US.CO,2600
2007-06,US.CT,28000
2007-06,US.FL,2000
2007-06,US.GA,6450
2007-06,US.KS,3000
2007-06,US.LA,5000
2007-06,US.MA,12775
2007-06,US.MO,1400
2007-06,US.NJ,13400
2007-06,US.NY,13525
2007-06,US.OH,2500
2007-06,US.TX,1200
2007-07,US.CO,17500
2007-07,US.CT,2000
2007-07,US.FL,74550
2007-07,US.GA,40100
2007-07,US.IN,14000
2007-07,US.MA,37900
2007-07,US.MD,9200
2007-07,US.ME,1200
2007-07,US.MO,7725
2007-07,US.NC,21300
2007-07,US.NJ,5350
2007-07,US.NY,77500
2007-07,US.VA,5000
2007-07,US.WI,25000
2007-07,US.WY,10000
2007-08,US.AZ,11800
2007-08,US.CA,4000
2007-08,US.CT,20500
2007-08,US.FL,144750
2007-08,US.GA,48725
2007-08,US.IL,3750
2007-08,US.IN,4800
2007-08,US.MA,36025
2007-08,US.MD,18500
2007-08,US.NC,15000
2007-08,US.NE,10000
2007-08,US.NH,6000
2007-08,US.NJ,23000
2007-08,US.NY,95650
2007-08,US.TX,8950
2007-08,US.VA,20450
2007-08,US.WA,6000
2007-08,US.WI,37400
2007-09,US.AZ,11050
2007-09,US.CO,13150
2007-09,US.FL,44800
2007-09,US.GA,6300
2007-09,US.KS,3000
2007-09,US.LA,10500
2007-09,US.MA,46500
2007-09,US.MD,36000
2007-09,US.MO,17000
2007-09,US.MT,2400
2007-09,US.NC,12125
2007-09,US.NE,4800
2007-09,US.NJ,23775
2007-09,US.NM,7000
2007-09,US.NY,92275
2007-09,US.OH,5000
2007-09,US.UT,12500
2007-09,US.VA,12275
2007-09,US.VT,2500
2007-09,US.WI,10000
2007-10,US.AL,24000
2007-10,US.AR,500
2007-10,US.AZ,18000
2007-10,US.CA,2225
2007-10,US.CO,10000
2007-10,US.FL,132625
2007-10,US.GA,51025
2007-10,US.IN,16250
2007-10,US.KS,5600
2007-10,US.LA,6025
2007-10,US.MA,49325
2007-10,US.MD,76675
2007-10,US.ME,5000
2007-10,US.MO,55825
2007-10,US.NC,59850
2007-10,US.NE,6700
2007-10,US.NJ,63825
2007-10,US.NY,105650
2007-10,US.SC,18050
2007-10,US.TN,2825
2007-10,US.UT,9925
2007-10,US.VA,19700
2007-10,US.WA,13625
2007-11,US.AL,7500
2007-11,US.AZ,36600
2007-11,US.CO,17375
2007-11,US.CT,22000
2007-11,US.DE,6000
2007-11,US.FL,198325
2007-11,US.GA,53400
2007-11,US.IN,16500
2007-11,US.LA,21300
2007-11,US.MA,86800
2007-11,US.MD,46550
2007-11,US.MO,7000
2007-11,US.NC,44875
2007-11,US.NH,22000
2007-11,US.NJ,71675
2007-11,US.NM,6000
2007-11,US.NY,122150
2007-11,US.SC,15600
2007-11,US.SD,25000
2007-11,US.TX,4800
2007-11,US.UT,37500
2007-11,US.VA,26050
2007-11,US.WA,58450
2007-11,US.WI,55200
2007-12,US.AL,30200
2007-12,US.AR,7100
2007-12,US.AZ,49450
2007-12,US.CA,67000
2007-12,US.CO,85600
2007-12,US.CT,15450
2007-12,US.DC,8000
2007-12,US.FL,166800
2007-12,US.GA,158800
2007-12,US.IL,20000
2007-12,US.IN,92525
2007-12,US.KY,7000
2007-12,US.MA,70050
2007-12,US.MD,27600
2007-12,US.ME,3000
2007-12,US.MO,53300
2007-12,US.MT,50000
2007-12,US.NC,70500
2007-12,US.NE,28900
2007-12,US.NH,22500
2007-12,US.NJ,150775
2007-12,US.NM,34400
2007-12,US.NV,21625
2007-12,US.NY,458825
2007-12,US.SC,18500
2007-12,US.TX,10400
2007-12,US.UT,12000
2007-12,US.VA,70425
2007-12,US.WA,43650
2007-12,US.WI,22800
2007-12,US.WY,10000
2008-01,US.AK,5600
2008-01,US.AL,53000
2008-01,US.AR,2500
2008-01,US.AZ,14200
2008-01,US.CA,556200
2008-01,US.CO,102550
2008-01,US.CT,65600
2008-01,US.DC,19500
2008-01,US.FL,224350
2008-01,US.GA,162200
2008-01,US.IA,20350
2008-01,US.IL,32700
2008-01,US.KS,8175
2008-01,US.KY,13000
2008-01,US.LA,10900
2008-01,US.MA,56250
2008-01,US.MD,162175
2008-01,US.MI,61825
2008-01,US.MN,60125
2008-01,US.MO,21450
2008-01,US.MS,24750
2008-01,US.NC,44125
2008-01,US.NH,25625
2008-01,US.NJ,95650
2008-01,US.NM,37000
2008-01,US.NV,42100
2008-01,US.NY,179575
2008-01,US.OH,92625
2008-01,US.OR,31650
2008-01,US.PA,54900
2008-01,US.RI,7000
2008-01,US.SC,14500
2008-01,US.TN,49675
