addr_state,loan_amnt,annual_inc,state
AK,2318458.9743589745,80308.5939675003,02
AL,4355365.760869565,71642.32285027587,01
AR,3760164.0625,73852.7448958075,05
AZ,8976622.126436781,73852.72808336027,04
CA,22789005.213270143,82726.68268468457,06
CO,8176676.685393258,83248.50853261002,08
CT,8555577.34375,80668.80202595117,09
DC,2289385.135135135,78400.91066425545,11
DE,4822548.75,71597.3817956805,10
FL,15763746.621621622,77841.07700315544,12
GA,13696275.0,73253.18661196552,13
HI,4582759.459459459,73234.39304141255,15
IA,12675.0,45680.92592592593,19
ID,2822201.1363636362,69713.79353086706,16
IL,11561081.55737705,75899.1891143052,17
IN,8345101.136363637,70347.01537105294,18
KS,5566231.862745098,67195.43569667918,20
KY,5599243.303571428,76430.05882480115,21
LA,7959297.395833333,74013.23557123255,22
MA,8635603.457446808,82397.11804325189,25
MD,14047270.49180328,87134.57244684559,24
ME,2528293.9655172415,80123.76232731232,23
MI,9674093.103448275,71009.85794830188,26
MN,9165836.111111112,73039.76529209962,27
MO,8453204.032258065,70381.3933313023,29
MS,7170275.0,72094.10896838027,28
MT,2844220.1612903224,67652.85892924943,30
NC,8458510.0,77786.46264760826,37
ND,1854095.8333333333,82642.79421946588,38
NE,1789378.2258064516,70454.50481951417,31
NH,4499175.675675675,69431.3517202327,33
NJ,13295030.050505051,80768.26399191069,34
NM,4051830.1136363638,76395.55782882206,35
NV,6622046.47887324,77936.87415522579,32
NY,17187333.54037267,84761.26555840053,36
OH,12240260.511363637,67172.85887821187,39
OK,6213307.5,80119.96439765376,40
OR,8624247.159090908,73657.12184545139,41
PA,9929718.859649124,75470.31542688467,42
RI,5956670.833333333,67301.73159125152,44
SC,8047728.846153846,67974.90363469534,45
SD,3079541.6666666665,86676.01598026234,46
TN,7462030.357142857,76674.59963413487,47
TX,16845594.971264366,79483.62401845359,48
UT,5292523.837209302,79359.8837797211,49
VA,8512738.44537815,76303.31313530794,51
VT,2273559.1666666665,81102.90617250731,50
WA,10308690.0,72532.11418413447,53
WI,8995126.041666666,71889.63227124944,55
WV,3598708.5714285714,71006.68056687724,54
WY,2648333.035714286,72219.1898856689,56
