date,state,loan_amnt,value
2007-06,CO,2600,2600
2007-06,CT,28000,28000
2007-06,FL,2000,2000
2007-06,GA,6450,6450
2007-06,KS,3000,3000
2007-06,LA,5000,5000
2007-06,MA,12775,12775
2007-06,MO,1400,1400
2007-06,NJ,13400,13400
2007-06,NY,13525,13525
2007-06,OH,2500,2500
2007-06,TX,1200,1200
2007-07,CO,17500,17500
2007-07,CT,2000,2000
2007-07,FL,74550,74550
2007-07,GA,40100,40100
2007-07,IN,14000,14000
2007-07,MA,37900,37900
2007-07,MD,9200,9200
2007-07,ME,1200,1200
2007-07,MO,7725,7725
2007-07,NC,21300,21300
2007-07,NJ,5350,5350
2007-07,NY,77500,77500
2007-07,VA,5000,5000
2007-07,WI,25000,25000
2007-07,WY,10000,10000
2007-08,AZ,11800,11800
2007-08,CA,4000,4000
2007-08,CT,20500,20500
2007-08,FL,144750,144750
2007-08,GA,48725,48725
2007-08,IL,3750,3750
2007-08,IN,4800,4800
2007-08,MA,36025,36025
2007-08,MD,18500,18500
2007-08,NC,15000,15000
2007-08,NE,10000,10000
2007-08,NH,6000,6000
2007-08,NJ,23000,23000
2007-08,NY,95650,95650
2007-08,TX,8950,8950
2007-08,VA,20450,20450
2007-08,WA,6000,6000
2007-08,WI,37400,37400
2007-09,AZ,11050,11050
2007-09,CO,13150,13150
2007-09,FL,44800,44800
2007-09,GA,6300,6300
2007-09,KS,3000,3000
2007-09,LA,10500,10500
2007-09,MA,46500,46500
2007-09,MD,36000,36000
2007-09,MO,17000,17000
2007-09,MT,2400,2400
2007-09,NC,12125,12125
2007-09,NE,4800,4800
2007-09,NJ,23775,23775
2007-09,NM,7000,7000
2007-09,NY,92275,92275
2007-09,OH,5000,5000
2007-09,UT,12500,12500
2007-09,VA,12275,12275
2007-09,VT,2500,2500
2007-09,WI,10000,10000
2007-10,AL,24000,24000
2007-10,AR,500,500
2007-10,AZ,18000,18000
2007-10,CA,2225,2225
2007-10,CO,10000,10000
2007-10,FL,132625,132625
2007-10,GA,51025,51025
2007-10,IN,16250,16250
2007-10,KS,5600,5600
2007-10,LA,6025,6025
2007-10,MA,49325,49325
2007-10,MD,76675,76675
2007-10,ME,5000,5000
2007-10,MO,55825,55825
2007-10,NC,59850,59850
2007-10,NE,6700,6700
2007-10,NJ,63825,63825
2007-10,NY,105650,105650
2007-10,SC,18050,18050
